Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Default Address Company,Default Address Address1,Default Address Address2,Default Address City,Default Address Province Code,Default Address Country Code,Default Address Zip,Default Address Phone,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Note,Tax Exempt,Tags
'9122188067044,Russell,Winfield,Russel.winfield@example.com,no,Company Name,105 Victoria St,,Toronto,,CA,M5C1N7,'+14165550135,'+16135550135,no,0.00,0,This customer is created with most available fields,no,VIP
'9122188099812,Karine,Ruby,karine.ruby@example.com,no,,Box 42 - 151 O'Connor St,,Ottawa,,CA,K2P2L8,'+16135550142,'+16135550142,no,0.00,0,,no,
'9122188132580,Ayumu,Hirano,ayumu.hirano@example.com,no,,,,,,,,,'+16135550127,no,0.00,0,,no,
'9123780788452,Kacey,Shields,egnition_sample_8209@egnition.com,no,,3508 Pharetra. Av.,,Nantes,,PY,42621,'+59546815309,'+14804246048,no,73.99,2,,no,"egnition-sample-data, referral, toys"
'9124506829028,Leonie,Ortiz,egnition_sample_3315@egnition.com,no,,"P.O. Box 550, 344 Et Rd.",,Saint-Lo,,DM,46597,'+18094528901,'+18453430198,no,916.95,3,,no,"clothes, egnition-sample-data, VIP"
'9124506894564,Saul,Veum,egnition_sample_3306@egnition.com,no,,16 Merchants Row,,Boston,MA,US,'02109,'+15123457918,'+14195788893,no,29.00,1,,no,"clothes, egnition-sample-data"
'9124506927332,Agustin,Tromp,egnition_sample_2521@egnition.com,no,,"P.O. Box 550, 344 Et Rd.",,Saint-Lo,,DM,46597,'+18094528901,'+13804778350,no,409.90,2,,no,"clothes, egnition-sample-data, referral"
'9124506960100,Lisette,Sawayn,egnition_sample_2922@egnition.com,no,,30 Legiendamm street,,Berlin,,DE,10117,'+4930902451,'+15866691915,no,719.85,4,,no,"clothes, egnition-sample-data"
'9124507058404,Woodrow,Mosciski,egnition_sample_3722@egnition.com,no,,10 Cahill Street,,San Jose,CA,US,95156,'+15123325073,'+14782916650,no,349.00,1,,no,"clothes, egnition-sample-data"
'9124507189476,Lesley,Schowalter,egnition_sample_4200@egnition.com,no,,14 Damfaret St,,Oslo,,NO,'0890,'+4792910783,'+19284310173,no,50.00,1,,no,"clothes, egnition-sample-data"
'9124507255012,Reilly,Ebert,egnition_sample_5234@egnition.com,no,,"P.O. Box 550, 344 Et Rd.",,Saint-Lo,,DM,46597,'+18094528901,'+13526753680,no,70.00,1,,no,"clothes, egnition-sample-data"
'9124507287780,Julia,Heller,egnition_sample_4950@egnition.com,no,,14 Damfaret St,,Oslo,,NO,'0890,'+4792910783,'+17247512116,no,179.95,1,,no,"clothes, egnition-sample-data"
'9124507320548,Edward,Wunsch,egnition_sample_8865@egnition.com,no,,1 La Rambla street,,Barcelona,B,ES,'08002,'+34789214892,'+18205844999,no,698.85,4,,no,"clothes, egnition-sample-data"
'9124507386084,Orville,Batz,egnition_sample_1473@egnition.com,no,,1 La Rambla street,,Barcelona,B,ES,'08002,'+34789214892,'+19383834386,no,339.95,2,,no,"clothes, egnition-sample-data, VIP"
'9124540874980,Jayce,Dickinson,egnition_sample_6604@egnition.com,no,,426-7891 Vel Avenue,,Frankfurt,,BG,66-855,'+35948553782,'+18309322665,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124540973284,Natasha,O'Conner,egnition_sample_8799@egnition.com,no,,"P.O. Box 726, 7322 Tellus Avenue",,Houston,,CD,923619,'+39471628609,'+19147941659,no,46.99,2,,no,"egnition-sample-data, referral, toys"
'9124541104356,Darlene,Hartmann,egnition_sample_7284@egnition.com,no,,"P.O. Box 128, 1891 Fusce Road",,Puttlingen,,BW,596967,'+2673956537,'+13236278480,no,458.00,3,,no,"egnition-sample-data, referral, toys"
'9124541137124,Gillian,Wilderman,egnition_sample_5781@egnition.com,no,,"P.O. Box 214, 9833 Venenatis Av.",,Cherbourg-Octeville,,IQ,274366,'+9647501129126,'+19562655968,no,36.00,1,,no,"egnition-sample-data, toys, VIP"
'9124541333732,Madelynn,Hauck,egnition_sample_2826@egnition.com,no,,Ap #797-9093 Lorem Rd.,,Gladstone,,EE,99925,'+3724405368,'+18158158093,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124541366500,Louvenia,Schiller,egnition_sample_7133@egnition.com,no,,346-7327 Massa St.,,Berlin,,GB,77805979 ,'+441212125369,'+13418892338,no,263.98,2,,no,"egnition-sample-data, toys"
'9124541399268,Adalberto,Rosenbaum,egnition_sample_0122@egnition.com,no,,"P.O. Box 879, 8424 Eget Street",,Bremerhaven,,BD,N27 2TJ,'+8801972548741,'+13519599206,no,174.98,2,,no,"egnition-sample-data, toys"
'9124541530340,Erica,Pouros,egnition_sample_4182@egnition.com,no,,827 Magna. Rd.,,Toledo,,BS,43563,'+12423336531,'+13862187772,no,717.00,4,,no,"egnition-sample-data, referral, toys"
