Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1190,egnition_sample_5781@egnition.com,refunded,,unfulfilled,,no,USD,36.00,0.00,0.00,36.00,"",0.00,"",2026-05-06 08:07:13 -0400,1,LEGO Juniors,36.00,,TOY07,false,true,pending,Sherman Feest,923 Ligula. St.,923 Ligula. St.,,,Herne,N725KO,,CD,+243825000948,Lafayette Rowe,"P.O. Box 214, 9833 Venenatis Av.","P.O. Box 214, 9833 Venenatis Av.",,,Cherbourg-Octeville,'274366,,IQ,+9647501129126,,"",,"","",0.00,LEGO,36.00,,,,6682765295844,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1189,egnition_sample_1011@egnition.com,pending,,unfulfilled,,no,USD,91.99,0.00,0.00,91.99,"",0.00,"",2026-05-06 08:07:10 -0400,1,Hasbro Pie Face Showdown,36.00,,TOY18,false,true,pending,Erica Pouros,Ap #147-5705 Nonummy Street,Ap #147-5705 Nonummy Street,,,Maubeuge,'7759,,ER,+2911127103,Madisyn Romaguera,"P.O. Box 415, 8583 Non, St.","P.O. Box 415, 8583 Non, St.",,,Springfield,'90558,,BS,+12423254591,,"",,"","",0.00,HASBRO,91.99,,,,6682765132004,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1189,egnition_sample_1011@egnition.com,,,,,,,,,,,,,,2026-05-06 08:07:10 -0400,1,Mega Bloks Big Building Bag,33.99,"",TOY52,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA BLOCKS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1189,egnition_sample_1011@egnition.com,,,,,,,,,,,,,,2026-05-06 08:07:10 -0400,1,NERF Modulus StockShot Blaster,22.00,"",TOY33,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NERF,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1188,egnition_sample_8211@egnition.com,paid,,unfulfilled,,no,USD,277.00,0.00,0.00,277.00,"",0.00,"",2026-05-06 08:07:07 -0400,1,Hasbro Taboo Board Game,28.00,,TOY20,false,true,pending,Mikel Koepp,Ap #348-6667 Malesuada Av.,Ap #348-6667 Malesuada Av.,,,Canberra,41-765,,MK,+38923293861,Lenna Bernhard,"666-9498 Vulputate, Rd.","666-9498 Vulputate, Rd.",,,Colchester,'171318,,TG,+22890852987,,"",,"","",0.00,HASBRO,277.00,,,,6682765066468,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1188,egnition_sample_8211@egnition.com,,,,,,,,,,,,,,2026-05-06 08:07:07 -0400,1,Nintendo 2DS Link Edition,249.00,"",TOY26,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1187,egnition_sample_4009@egnition.com,refunded,,unfulfilled,,no,USD,63.99,0.00,0.00,63.99,"",0.00,"",2026-05-06 08:07:05 -0400,1,Hasbro Taboo Board Game,28.00,,TOY20,false,true,pending,Heloise Murazik,877-2062 Molestie Av.,877-2062 Molestie Av.,,,Little Rock,'1264,,ER,+2911129751,Kade Torphy,Ap #567-2341 Andrassy ut,Ap #567-2341 Andrassy ut,,,Melbourne,'3000,VIC,AU,+3655698017,,"",,"","",0.00,HASBRO,63.99,,,,6682764869860,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,Victoria,,,,
#1187,egnition_sample_4009@egnition.com,,,,,,,,,,,,,,2026-05-06 08:07:05 -0400,1,Hasbro Nerf Elite Triad,10.00,"",TOY34,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NERF,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1187,egnition_sample_4009@egnition.com,,,,,,,,,,,,,,2026-05-06 08:07:05 -0400,1,Mega Bloks Freddy Firetruck,25.99,"",TOY57,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA BLOCKS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1186,egnition_sample_2295@egnition.com,pending,,unfulfilled,,no,USD,19.00,0.00,0.00,19.00,"",0.00,"",2026-05-06 08:07:02 -0400,1,Lego Super Heroes Mighty Micros: Wonder Women Vs.Doomsday,19.00,,TOY06,false,true,pending,Natasha O'Conner,652-9825 Praesent Ave,652-9825 Praesent Ave,,,HH,'65077,,MV,+9603303421,Caden O'Connell,723-306 Diam St.,723-306 Diam St.,,,Greater Hobart,'56014,,AD,+376767083,,"",,"","",0.00,LEGO,19.00,,,,6682764837092,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
