title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
A solid purchase,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2025-07-02 07:16:23 UTC,wizard,ok,Alexandra Hill,egnition_sample_4088@egnition.com,9027409903844.0,nintendo-new-3ds-xl,,,,,,review-df9eb48a-3b05-4273-a2fa-9a706a9c8fab
Actually really good,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2025-08-06 07:16:23 UTC,wizard,ok,Aglae Cassin,egnition_sample_9805@egnition.com,9027409903844.0,nintendo-new-3ds-xl,,,,,,review-1cfaf0c3-15f8-4517-8eae-bf2e2270854c
Poor experience,"The design is nice, but honestly, i'm quite disappointed. the material feels much cheaper than the photos suggested and it's already showing wear.",1,2025-05-12 07:16:23 UTC,wizard,ok,Colton Roob,egnition_sample_1089@egnition.com,9027409903844.0,nintendo-new-3ds-xl,,,,,,review-a80e1d70-ff35-4638-acae-bf93b5d1a4f5
Value for money,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,4,2025-10-02 07:16:23 UTC,wizard,ok,Florida Leffler,egnition_sample_1011@egnition.com,9027409903844.0,nintendo-new-3ds-xl,,,,,,review-21e95401-afed-4996-b4d6-05e0777a0553
Actually really good,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,5,2025-10-15 07:16:23 UTC,wizard,ok,Erica Pouros,egnition_sample_4182@egnition.com,9027410165988.0,gamesir-f1-joystick,,,,,,review-8fe3ddb5-bd7f-4f1f-8379-d7576bc84856
Mixed feelings,"The quality is acceptable, though there are a few minor finishing issues. It does what it's supposed to do.",3,2025-10-17 07:16:23 UTC,wizard,ok,Dixie Schmeler,egnition_sample_9903@egnition.com,9027409608932.0,nintendo-dsi-matte-red,,,,,,review-85c6506b-84ed-4053-ba39-4994bf92ea72
Surprised by the quality,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point. Only downside was the slightly long shipping time.,5,2025-09-10 07:16:23 UTC,wizard,ok,Hettie Bogisich,egnition_sample_8915@egnition.com,9027409608932.0,nintendo-dsi-matte-red,,,,,,review-64989dae-22c5-44bc-9870-e5bba47ce5a7
Regret this purchase,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",1,2025-08-03 07:16:23 UTC,wizard,ok,Keegan Stokes,egnition_sample_0575@egnition.com,9027409608932.0,nintendo-dsi-matte-red,,,,,,review-5d228323-eb60-4527-b8db-86e3fe5aa8f2
Does the job,"Good enough, but I feel like it could be a bit more sturdy. I'll keep it, but I'm not totally in love with it.",3,2025-06-01 07:16:23 UTC,wizard,ok,Johnnie Von,egnition_sample_0991@egnition.com,9027409608932.0,nintendo-dsi-matte-red,,,,,,review-4f64cbf0-f8c6-4efc-a10b-437ae2597f13
A solid purchase,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch. Only downside was the slightly long shipping time.",4,2026-01-12 07:16:23 UTC,wizard,ok,Saul Veum,egnition_sample_3306@egnition.com,9027409281252.0,nintendo-2ds-link-edition,,,,,,review-6733722d-b777-4aec-b4c2-5aa91c4806ad
Disappointing,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",1,2025-09-21 07:16:23 UTC,wizard,ok,Johnnie Von,egnition_sample_0991@egnition.com,9027408986340.0,nintendo-super-famicom-mini,,,,,,review-29f74f7b-dca3-4dd3-b842-7d68cad8bafb
Exceeded expectations,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2025-06-11 07:16:23 UTC,wizard,ok,Louvenia Schiller,egnition_sample_7133@egnition.com,9027408724196.0,nintendo-entertainment-system-nes-classic-edition,,,,,,review-736e0d0a-b31a-4599-b78f-bacb4a35f32a
Regret this purchase,Save your money. There are better alternatives out there. This one started having issues within the first few days.,1,2025-07-26 07:16:23 UTC,wizard,ok,Sherman Feest,egnition_sample_1251@egnition.com,9027409281252.0,nintendo-2ds-link-edition,,,,,,review-a4238662-0547-4105-9079-c48fbcd7a8cb
Actually really good,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2025-07-13 07:16:23 UTC,wizard,ok,Kacey Shields,egnition_sample_8209@egnition.com,9027408724196.0,nintendo-entertainment-system-nes-classic-edition,,,,,,review-01b60877-7ce4-4dfc-b79a-438b8e45c4f6
Disappointing,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,1,2025-07-26 07:16:23 UTC,wizard,ok,Edward Wunsch,egnition_sample_8865@egnition.com,9027409281252.0,nintendo-2ds-link-edition,,,,,,review-a44891fb-b825-4432-b90a-bf639e580bc8
Actually really good,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point. Only downside was the slightly long shipping time.,5,2026-01-20 07:16:23 UTC,wizard,ok,Heloise Murazik,egnition_sample_3331@egnition.com,9027408396516.0,nintendo-snes-classic-mini,,,,,,review-00fa7633-9986-48e6-b07c-2d5cbfee97c0
Issues from day one,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",1,2025-11-11 07:16:23 UTC,wizard,ok,Saul Veum,egnition_sample_3306@egnition.com,9027408724196.0,nintendo-entertainment-system-nes-classic-edition,,,,,,review-307e23b5-6543-4ee4-86c4-6b0967bf413a
Value for money,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2025-09-19 07:16:23 UTC,wizard,ok,Anahi Von,egnition_sample_7880@egnition.com,9027408036068.0,nintendo-switch-with-neon-blue-neon-red-joy-con,,,,,,review-9db68d18-8e9a-40b3-b157-f8b6c34a9651
Exceeded expectations,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2025-07-10 07:16:23 UTC,wizard,ok,Dixie Schmeler,egnition_sample_9903@egnition.com,9027408396516.0,nintendo-snes-classic-mini,,,,,,review-6dab0e05-067c-4a0e-b744-3cb7f0714c86
Not worth it,Save your money. There are better alternatives out there. This one started having issues within the first few days.,2,2026-04-09 07:16:23 UTC,wizard,ok,Sherman Feest,egnition_sample_1251@egnition.com,9027408036068.0,nintendo-switch-with-neon-blue-neon-red-joy-con,,,,,,review-a668ca7c-8c95-4e66-881f-3c7366ddd8f0
Issues from day one,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,2,2025-09-18 07:16:23 UTC,wizard,ok,Jayce Dickinson,egnition_sample_6604@egnition.com,9027407773924.0,nintendo-patented-3-0inch,,,,,,review-ed79ae50-d3fa-477b-885c-a94b8e787900
Issues from day one,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,2,2026-01-15 07:16:23 UTC,wizard,ok,Keith Abernathy,egnition_sample_4290@egnition.com,9027408036068.0,nintendo-switch-with-neon-blue-neon-red-joy-con,,,,,,review-9a7d8a04-d2dc-4763-868c-07d73e0e34c9
A solid purchase,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point. Only downside was the slightly long shipping time.,4,2025-08-13 07:16:23 UTC,wizard,ok,Eusebio Heaney,egnition_sample_2484@egnition.com,9027407773924.0,nintendo-patented-3-0inch,,,,,,review-7853681f-c330-4181-9f1b-3a5465d30356
Not worth it,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,2,2025-12-27 07:16:23 UTC,wizard,ok,Lesley Schowalter,egnition_sample_4200@egnition.com,9027407773924.0,nintendo-patented-3-0inch,,,,,,review-8fc78007-0e41-4736-9772-6f18c6f340e1
Subpar material,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,2,2025-10-02 07:16:23 UTC,wizard,ok,Lisette Sawayn,egnition_sample_2922@egnition.com,9027407773924.0,nintendo-patented-3-0inch,,,,,,review-37e8ff93-bfe4-4dd3-b10f-8e016b7ea65e
Issues from day one,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",2,2025-12-13 07:16:23 UTC,wizard,ok,Ayumu Hirano,ayumu.hirano@example.com,9027407577316.0,hasbro-taboo-board-game,,,,,,review-cb82e2c5-527f-480b-a20e-2dd8b90de055
Exactly as described,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2026-03-10 07:16:23 UTC,wizard,ok,Ronaldo Krajcik,egnition_sample_5854@egnition.com,9027407577316.0,hasbro-taboo-board-game,,,,,,review-61b928c7-5e05-4f88-a5d8-25a2b8bf379a
Subpar material,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,1,2026-03-06 07:16:23 UTC,wizard,ok,Louvenia Schiller,egnition_sample_7133@egnition.com,9027407380708.0,hasbro-all-new-boggle-game,,,,,,review-5b0f507e-1995-4b09-9948-495bb4291b1e
Exactly as described,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,5,2025-08-09 07:16:23 UTC,wizard,ok,Jarret Nikolaus,egnition_sample_4453@egnition.com,9027407577316.0,hasbro-taboo-board-game,,,,,,review-79161760-9237-43f1-811c-66596e19408f
Value for money,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch. Only downside was the slightly long shipping time.",4,2025-05-22 07:16:23 UTC,wizard,ok,Jamaal Gusikowski,egnition_sample_2295@egnition.com,9027407380708.0,hasbro-all-new-boggle-game,,,,,,review-2aaa313c-1bc5-4331-becc-c7f415a2f476
Disappointing,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",2,2025-06-17 07:16:23 UTC,wizard,ok,Erica Pouros,egnition_sample_4182@egnition.com,9027407380708.0,hasbro-all-new-boggle-game,,,,,,review-aa37fa2e-56a1-4549-b12d-2f860810f826
Surprised by the quality,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2026-02-28 07:16:23 UTC,wizard,ok,Jose Treutel,egnition_sample_1884@egnition.com,9027406856420.0,hasbro-jenga-pass-challenge-game,,,,,,review-64b5d7d2-11aa-4032-8548-bcaf0bde6834
Poor experience,Save your money. There are better alternatives out there. This one started having issues within the first few days.,1,2025-12-19 07:16:23 UTC,wizard,ok,Madelynn Hauck,egnition_sample_2826@egnition.com,9027407118564.0,hasbro-pie-face-showdown,,,,,,review-c2b4e0f6-bf8d-4986-b0cc-0a97de955768
Issues from day one,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",1,2026-01-11 07:16:23 UTC,wizard,ok,Zita Bauch,egnition_sample_5854@egnition.com,9027407118564.0,hasbro-pie-face-showdown,,,,,,review-423fea4f-9b32-483e-ba5e-739f3ee10f67
Actually really good,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2026-02-01 07:16:23 UTC,wizard,ok,Jayce Dickinson,egnition_sample_6604@egnition.com,9027407380708.0,hasbro-all-new-boggle-game,,,,,,review-965f8c59-7a11-4980-b06e-b354102b79c2
Exactly as described,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2025-06-19 07:16:23 UTC,wizard,ok,Keegan Stokes,egnition_sample_0575@egnition.com,9027406528740.0,hasbro-gaming-monopoly-junior-electronic-banking-game,,,,,,review-27df688e-9a9d-41e3-a89c-1a94a2326ed8
A solid purchase,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,4,2025-07-04 07:16:23 UTC,wizard,ok,Thaddeus Sipes,egnition_sample_8211@egnition.com,9027406856420.0,hasbro-jenga-pass-challenge-game,,,,,,review-c9ca4a53-2b6d-46a2-b24a-594c58ef0959
Actually really good,Exactly what I was looking for. I've tried other brands before but this one feels much more durable. Only downside was the slightly long shipping time.,4,2025-09-05 07:16:23 UTC,wizard,ok,Johnnie Von,egnition_sample_0991@egnition.com,9027406856420.0,hasbro-jenga-pass-challenge-game,,,,,,review-18bf725f-d5c0-4881-b8f8-889e6a1eca51
Average quality,"The quality is acceptable, though there are a few minor finishing issues. It does what it's supposed to do.",3,2025-08-03 07:16:23 UTC,wizard,ok,Trystan Volkman,egnition_sample_7517@egnition.com,9027406201060.0,hasbro-gaming-pie-face-sky-high,,,,,,review-ca41fd68-61d2-4126-93fe-abf5eb3bf13c
Regret this purchase,"The design is nice, but save your money. there are better alternatives out there. this one started having issues within the first few days.",1,2026-05-05 07:16:23 UTC,wizard,ok,Darlene Hartmann,egnition_sample_7284@egnition.com,9027406528740.0,hasbro-gaming-monopoly-junior-electronic-banking-game,,,,,,review-03d782b0-1017-41e3-ba12-0e69ec33f51f
Subpar material,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",2,2025-08-14 07:16:23 UTC,wizard,ok,Keegan Stokes,egnition_sample_0575@egnition.com,9027405349092.0,hasbro-fur-real-snifflinsawyer,,,,,,review-43eeff95-75fc-47b2-ac6c-5c606f8107fb
A solid purchase,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,4,2025-06-16 07:16:23 UTC,wizard,ok,Jose Treutel,egnition_sample_1884@egnition.com,9027405611236.0,hasbro-monopoly-star-wars-game-set,,,,,,review-50330f73-c331-4be5-ac4a-1fcdd41c4a28
